,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
20,Kendrick Lamar,Alright,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333
21,Lenny Kravitz,American Woman,0.688,0.671,1,-7.872,1,0.0975,0.0304,0.0,0.0782,0.537,83.988,264560
22,Original Broadway Cast,And I Am Telling You I'm Not Going - Original Broadway Cast/1982,0.404,0.553,10,-7.555,1,0.0374,0.165,0.00215,0.572,0.259,123.38,244000
23,Phil Collins,Another Day in Paradise - 2016 Remaster,0.78,0.565,3,-7.32,0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133
24,Toni Braxton,Another Sad Love Song,0.78,0.711,2,-7.429,1,0.0476,0.0142,3.75e-05,0.0366,0.859,96.067,301560
25,Ledisi,Anything For You,0.541,0.407,7,-7.533,1,0.15,0.633,0.0,0.111,0.347,133.338,257013
26,The Flaming Lips,Approaching Pavonis Mons by Balloon (Utopia Planitia),0.418,0.729,4,-4.131,0,0.0311,0.000116,0.311,0.102,0.279,166.454,189280
27,The 5th Dimension,Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical Hair,0.293,0.74,7,-6.098,1,0.0399,0.445,0.00152,0.0998,0.514,118.225,289293
28,Janis Ian,At Seventeen - Remastered,0.616,0.271,0,-17.212,1,0.0458,0.876,0.000126,0.113,0.336,125.021,283880
29,The Pointer Sisters,Automatic,0.803,0.656,5,-7.53,1,0.0556,0.0934,0.0,0.324,0.926,110.544,287013
30,System Of A Down,B.Y.O.B.,0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,255467
31,Taylor Swift,Bad Blood,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933
32,Billie Eilish,bad guy,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
33,Eric Clapton,Bad Love,0.559,0.862,7,-7.819,1,0.0514,0.283,0.00106,0.546,0.434,124.596,308747
34,Lady Gaga,Bad Romance,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573
35,Skrillex,Bangarang (feat. Sirah),0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,215253
36,Johnny Horton,The Battle Of New Orleans,0.704,0.743,9,-12.069,1,0.129,0.805,0.0,0.205,0.92,177.362,151507
37,Mary J. Blige,Be Without You - Kendu Mix,0.726,0.7,2,-5.881,0,0.0998,0.0717,0.0,0.262,0.673,146.559,246333
38,Michael Jackson,Beat It,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040
39,Christina Aguilera,Beautiful,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,238560
40,U2,Beautiful Day,0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279,246400
41,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")",0.615,0.467,1,-9.883,1,0.0327,0.314,0.0,0.099,0.177,119.919,273667
42,Carrie Underwood,Before He Cheats,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,199947
43,Slipknot,Before I Forget,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-06,0.886,0.348,134.724,278600
44,Charlie Rich,Behind Closed Doors,0.492,0.329,2,-11.788,1,0.0274,0.961,0.199,0.0955,0.589,85.196,174667
45,The Police,Behind My Camel,0.261,0.325,7,-9.589,1,0.0266,0.0686,0.799,0.293,0.198,85.22,173600
46,The Emotions,Best of My Love,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,220560
47,Leon Bridges,Bet Ain't Worth the Hand,0.546,0.539,4,-5.588,1,0.0345,0.777,0.0,0.124,0.287,119.64,185893
48,Various Artists,Bette Davis Eyes,0.684,0.498,5,-13.53,1,0.0351,0.0442,1.53e-06,0.121,0.596,116.447,225627
49,Little Big Town,Better Man,0.514,0.836,5,-3.663,1,0.0381,0.112,0.0,0.0878,0.501,143.888,263120
50,Metallica,Better Than You,0.477,0.964,1,-5.44,1,0.052,3.59e-05,0.532,0.893,0.459,78.193,321600
51,Michael Jackson,Billie Jean,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827
52,Fantasia,Bittersweet,0.74,0.81,8,-5.231,1,0.0755,0.0266,2.4e-05,0.0433,0.436,129.972,236640
53,Steely Dan,Black Cow,0.47,0.326,2,-15.201,1,0.0555,0.183,0.00761,0.0492,0.563,188.717,310227
54,Soundgarden,Black Hole Sun,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,318587
55,Beyoncé,BLACK PARADE,0.824,0.555,1,-5.817,1,0.05,0.00337,6.42e-06,0.217,0.0611,120.002,281273
56,David Bowie,Blackstar,0.366,0.552,6,-8.35,1,0.0317,0.206,0.0595,0.178,0.114,97.98,597933
57,The Chemical Brothers,Block Rockin' Beats,0.606,0.977,1,-3.642,1,0.06,0.0206,0.5,0.179,0.809,109.41,294027
58,Carrie Underwood,Blown Away,0.531,0.843,9,-2.569,0,0.0429,0.0909,0.0,0.0283,0.392,136.991,240133
59,LeAnn Rimes,Blue,0.545,0.452,4,-8.604,1,0.0248,0.595,1.29e-06,0.161,0.297,91.294,169547
60,Willie Nelson,Blue Eyes Crying In the Rain,0.626,0.04,4,-19.994,1,0.0405,0.928,0.00178,0.11,0.418,117.136,138600
61,Stevie Wonder,Boogie On Reggae Woman,0.876,0.708,1,-11.405,1,0.052,0.205,0.074,0.0671,0.643,106.916,313267
62,"Earth, Wind & Fire",Boogie Wonderland,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293
63,Judy Collins,Both Sides Now,0.352,0.3,8,-9.282,1,0.0301,0.413,0.0,0.1,0.295,58.686,195840
64,Green Day,Boulevard of Broken Dreams,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,262333
65,Faith Hill,Breathe,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547
66,Toni Braxton,Breathe Again,0.689,0.677,0,-6.36,1,0.0326,0.0697,0.0,0.0877,0.259,153.922,269173
67,Simon & Garfunkel,Bridge Over Troubled Water,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,293120
68,Tanya Tucker,Bring My Flowers Now,0.557,0.198,4,-9.911,1,0.0461,0.948,8.79e-06,0.217,0.336,133.823,260360
69,Chris Stapleton,Broken Halos,0.613,0.564,8,-7.085,1,0.0251,0.134,1.65e-06,0.0585,0.538,78.388,180907
70,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,0.404,0.72,10,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,258467
71,Young MC,Bust A Move,0.946,0.772,4,-7.537,0,0.121,0.0512,2.26e-06,0.0612,0.743,116.972,263914
72,Kacey Musgraves,Butterflies,0.689,0.614,4,-6.137,0,0.0306,0.252,1.95e-05,0.178,0.411,141.97,219053
73,Bob Carlisle,Butterfly Kisses,0.386,0.364,0,-9.624,1,0.032,0.541,0.0,0.347,0.104,81.895,340600
74,Glen Campbell,By The Time I Get To Phoenix - Remastered 2001,0.218,0.336,5,-12.997,1,0.0301,0.0743,1.61e-06,0.134,0.232,176.66,164200
75,Elton John,Can You Feel The Love Tonight,0.297,0.364,10,-9.261,1,0.0305,0.813,0.000761,0.0976,0.149,122.598,240000
76,Rose Royce,Car Wash - Long Version,0.667,0.521,9,-13.212,0,0.115,0.202,6.55e-05,0.0723,0.856,117.917,307573
77,Billy Ocean,Caribbean Queen (No More Love On the Run),0.79,0.649,5,-7.507,1,0.0265,0.166,8.87e-05,0.092,0.954,113.798,244427
78,Perry Como,Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),0.628,0.172,11,-17.816,1,0.06,0.864,0.0,0.113,0.475,118.895,148493
79,Aretha Franklin,Chain of Fools,0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643,167067
80,Eric Clapton,Change the World,0.721,0.558,9,-8.8,1,0.0246,0.492,0.00563,0.113,0.542,96.887,234867
81,Adele,Chasing Pavements,0.616,0.47,5,-6.092,0,0.0253,0.291,0.0,0.111,0.325,80.03,210507
82,Merle Haggard,Cherokee Maiden,0.79,0.616,10,-8.999,1,0.0291,0.231,0.0297,0.0745,0.923,111.086,182360
83,Benny Benassi,Cinema - Skrillex Remix,0.637,0.985,6,-3.809,0,0.184,0.00988,0.00857,0.0649,0.374,145.111,307862
84,U2,City Of Blinding Lights,0.444,0.771,8,-4.127,1,0.0304,0.000234,0.0184,0.108,0.198,139.172,345707
85,Zedd,Clarity,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427
86,Mason Williams,Classical Gas,0.489,0.701,7,-10.53,1,0.0348,0.852,0.78,0.108,0.739,155.269,184800
87,Eric Johnson,Cliffs Of Dover - Instrumental,0.449,0.775,7,-12.029,1,0.0405,0.162,0.149,0.248,0.313,94.907,249768
88,Various Artists,Clocks,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880
89,Indigo Girls,Closer to Fine,0.54,0.677,9,-6.349,1,0.0286,0.368,0.0,0.224,0.748,98.339,241600
90,The Temptations,Cloud Nine,0.736,0.45,7,-14.104,1,0.0583,0.354,0.0,0.0689,0.82,118.042,211693
91,Various Artists,"Colors Of The Wind - End Title - From ""Pocahontas""/Soundtrack Version",0.55,0.241,10,-18.092,1,0.0482,0.395,2.37e-05,0.104,0.135,83.964,257867
92,Anderson .Paak,Come Home (feat. André 3000),0.567,0.815,8,-4.915,1,0.141,0.0144,2.14e-05,0.126,0.325,164.834,266813
93,Melissa Etheridge,Come To My Window,0.512,0.636,7,-9.602,1,0.0262,0.08,0.000106,0.088,0.499,97.257,236000
94,The Beatles,Come Together - Remastered 2009,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947
95,k.d. lang,Constant Craving,0.6,0.77,5,-5.559,0,0.0302,0.0603,4.79e-06,0.0967,0.321,128.473,277240
96,Barry Manilow,Copacabana (At the Copa),0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,236760
97,Steely Dan,Cousin Dupree,0.832,0.554,10,-8.918,1,0.0441,0.17,0.0495,0.0796,0.859,139.978,328293
98,Solange,Cranes in the Sky,0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,250973
99,Linkin Park,Crawling,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,208960
100,Aerosmith,Crazy,0.37,0.866,6,-3.879,0,0.0384,0.0868,0.0,0.137,0.427,162.086,316693
101,Beyoncé,Crazy In Love (feat. Jay-Z),0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,236133
102,Fiona Apple,Criminal,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97e-05,0.299,0.586,89.846,341533
103,The Highwomen,Crowded Table,0.559,0.562,11,-5.674,1,0.0325,0.203,9.48e-06,0.17,0.428,132.062,209907
104,Faith Hill,Cry,0.512,0.645,8,-5.631,1,0.029,0.141,0.0,0.0987,0.283,111.015,226307
105,Justin Timberlake,Cry Me a River,0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,288333
106,Ray Charles,Crying Time,0.203,0.301,8,-12.233,1,0.0367,0.663,0.0,0.156,0.398,202.737,175772
107,Paul McCartney,Dance Tonight,0.531,0.891,5,-2.539,1,0.0431,0.0823,0.00551,0.161,0.926,170.973,174933
108,Luther Vandross,Dance With My Father,0.739,0.341,10,-9.971,1,0.0378,0.525,1.1e-06,0.072,0.231,80.958,266000
109,Roger Miller,Dang Me,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325,102400
110,Red Hot Chili Peppers,Dani California,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160
111,John Mayer,Daughters,0.674,0.413,2,-7.816,1,0.0274,0.836,1.95e-05,0.098,0.503,124.893,237907
112,Dirty Vegas,Days Go By,0.786,0.853,9,-8.274,0,0.0688,0.0499,0.0872,0.35,0.309,126.99,432147
113,Nino Tempo & April Stevens,Deep Purple,0.507,0.32,5,-12.472,1,0.0305,0.881,2.59e-05,0.153,0.575,130.565,160133
114,Blondie,Denis - Remastered,0.555,0.879,0,-5.877,1,0.0388,0.16,1.22e-06,0.27,0.863,138.953,139088
115,Les Crane,Desiderata,0.304,0.282,1,-17.311,1,0.0524,0.806,0.0,0.147,0.602,75.897,278960
116,U2,Desire,0.49,0.827,8,-9.481,1,0.0482,0.000212,0.00406,0.112,0.626,108.577,179360
117,Bruce Springsteen,Devils & Dust,0.638,0.443,2,-6.86,1,0.0283,0.374,0.000483,0.547,0.556,111.079,298627
118,Kanye West,Diamonds From Sierra Leone - Remix,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043,233400
119,Lenny Kravitz,Dig In,0.671,0.921,9,-3.878,1,0.0291,0.0129,0.0235,0.0579,0.825,118.424,217533
120,Peter Gabriel,Digging In The Dirt,0.713,0.729,1,-8.218,1,0.0711,0.219,0.00233,0.141,0.538,80.934,318013
121,Nelly,Dilemma,0.727,0.552,2,-8.074,0,0.14,0.227,0.000164,0.198,0.607,168.189,289160
122,Dionne Warwick,Do You Know the Way to San Jose,0.658,0.657,0,-7.792,1,0.0482,0.592,9.5e-06,0.08,0.888,157.269,179440
123,University of Cape Town Choir,"Don’t Worry, Be Happy",0.175,0.0281,10,-37.841,0,0.0635,0.98,0.0,0.288,0.375,60.298,269636
124,Ms. Lauryn Hill,Doo Wop (That Thing),0.535,0.505,2,-8.926,0,0.245,0.0393,0.0,0.0923,0.495,99.935,320267
125,Petula Clark,Downtown,0.48,0.689,4,-7.921,1,0.0645,0.78,0.0,0.149,0.596,117.409,187760
126,Train,Drops of Jupiter (Tell Me),0.481,0.638,0,-5.862,1,0.0276,0.153,0.0,0.154,0.497,79.064,259933
127,Beyoncé,Drunk in Love (feat. Jay-Z),0.589,0.621,5,-6.902,0,0.0468,0.00969,0.00104,0.181,0.401,140.03,323480
128,Megadeth,Dystopia,0.273,0.988,10,-2.934,0,0.471,6.96e-05,0.0115,0.0891,0.156,110.051,299107
129,The Weeknd,Earned It (Fifty Shades Of Grey),0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,277680
130,"""Weird Al"" Yankovic",Eat It,0.767,0.811,7,-8.548,1,0.0766,0.0866,0.0,0.0684,0.858,147.423,200627
131,Chris Stapleton,Either Way,0.655,0.0645,4,-14.765,1,0.0429,0.854,1.11e-05,0.107,0.278,129.399,248053
132,Marty Robbins,El Paso,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,259307
133,The Beatles,Eleanor Rigby,0.521,0.301,4,-7.118,0,0.0356,0.836,0.0,0.398,0.621,137.382,125227
134,MGMT,Electric Feel,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640
135,Silk City,Electricity (with Dua Lipa),0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173
136,U2,Elevation,0.581,0.804,9,-8.093,1,0.0361,0.00105,0.000289,0.05,0.418,110.022,226133
137,JAY-Z,Empire State Of Mind,0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.811,173.585,276920
138,Barbra Streisand,"Evergreen (Love Theme from, ""A Star Is Born"")",0.335,0.303,9,-10.943,1,0.0315,0.932,0.0271,0.0907,0.186,114.224,184800
139,The Police,Every Breath You Take,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920
140,Bobby Brown,Every Little Step,0.797,0.656,1,-11.601,1,0.0404,0.00721,0.0,0.0377,0.948,99.828,237240
141,Billie Eilish,everything i wanted,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426
142,Whitney Houston,"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",0.661,0.394,1,-9.032,1,0.0318,0.401,0.0,0.119,0.107,137.954,204333
143,Tracy Chapman,Fast Car,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,296800
144,Gorillaz,Feel Good Inc.,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,222640
145,Portugal. The Man,Feel It Still,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253
146,Roberta Flack,The First Time Ever I Saw Your Face,0.311,0.0264,0,-21.644,1,0.037,0.731,0.00205,0.156,0.139,120.653,260666
147,Various Artists,"Flashdance...What A Feeling - From ""Flashdance""",0.649,0.551,7,-9.866,0,0.0315,0.111,1.47e-06,0.18,0.494,123.572,233667
148,Lenny Kravitz,Fly Away,0.587,0.872,7,-5.066,1,0.0484,0.018,0.0,0.622,0.735,159.925,221333
149,Johnny Cash,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,162653
150,CeeLo Green,Fool for You (feat. Melanie Fiona),0.639,0.738,1,-5.059,0,0.0506,0.0148,0.0,0.302,0.691,141.998,221045
151,Stevie Wonder,For Once In My Life,0.524,0.519,6,-11.903,1,0.043,0.195,0.0,0.523,0.847,110.121,169800
152,CeeLo Green,Forget You,0.696,0.875,0,-3.682,1,0.0649,0.134,0.0,0.159,0.772,127.39,222733
153,Beyoncé,Formation,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,206080
154,Korn,Freak On a Leash,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,255733
155,The Beatles,Free As A Bird - Anthology 1 Version,0.474,0.503,9,-9.074,1,0.0279,0.0438,0.016,0.153,0.457,72.323,265293
156,Aretha Franklin,Freeway Of Love,0.688,0.899,2,-6.328,1,0.0734,0.242,5.55e-06,0.0223,0.833,126.509,352093
157,Bette Midler,From a Distance,0.536,0.242,7,-11.716,1,0.0277,0.674,0.0,0.331,0.331,137.989,276346
158,The Civil Wars,From This Valley (Acoustic),0.396,0.401,3,-5.661,1,0.0372,0.811,0.0,0.0858,0.39,173.602,209107
159,The Chemical Brothers,Galvanize,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,393813
160,Joe South,Games People Play,0.334,0.714,9,-8.379,1,0.155,0.251,4.26e-05,0.257,0.595,172.288,215160
161,Coolio,Gangsta's Paradise,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.387,79.974,240693
162,Ray Charles,Georgia on My Mind - Original Master Recording,0.138,0.399,7,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,217415
163,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413
164,Lucinda Williams,Get Right With God,0.621,0.868,11,-8.095,1,0.0359,0.47,0.000242,0.241,0.645,106.131,257373
165,Will Smith,Gettin' Jiggy Wit It,0.881,0.874,6,-4.505,1,0.139,0.0175,1.14e-06,0.154,0.858,107.891,227933
166,Little Big Town,Girl Crush,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,193320
167,Tracy Chapman,Give Me One Reason,0.608,0.419,11,-10.016,1,0.0331,0.602,7.58e-06,0.108,0.602,100.22,268333
168,George Benson,Give Me the Night,0.85,0.466,1,-15.673,1,0.0555,0.314,0.0234,0.129,0.86,109.936,222627
169,Various Artists,Giving You the Best That I Got - Single Version,0.637,0.542,9,-8.173,1,0.0356,0.765,0.0,0.302,0.38,105.322,233973
170,Vince Gill,Go Rest High On That Mountain,0.325,0.143,2,-12.218,1,0.033,0.469,0.000221,0.101,0.179,110.823,315973
171,Black Sabbath,God Is Dead?,0.379,0.726,3,-4.935,0,0.0332,0.000193,0.00266,0.0578,0.178,120.012,532267
172,for KING & COUNTRY,God Only Knows,0.597,0.417,2,-7.952,1,0.0502,0.395,8.35e-06,0.128,0.263,143.839,229760
173,Tamela Mann,God Provides,0.445,0.375,1,-7.468,1,0.0398,0.748,1.7e-06,0.115,0.243,83.777,240349
174,Johnny Cash,God's Gonna Cut You Down,0.617,0.485,5,-8.227,0,0.115,0.868,3.44e-05,0.115,0.845,82.228,158573
175,Drake,God's Plan,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973
176,Kanye West,Good Life,0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,207000
177,Janet Jackson,Got 'Til It's Gone,0.789,0.412,7,-7.518,1,0.243,0.0218,0.000312,0.3,0.518,89.914,241760
178,The Chemical Brothers,Got To Keep On,0.721,0.867,6,-6.209,0,0.0528,0.048,0.125,0.0828,0.917,125.005,316680
179,Bob Dylan,Gotta Serve Somebody,0.81,0.526,2,-9.627,1,0.0991,0.431,0.0,0.0841,0.811,95.23,324800
180,Paul Simon,Graceland,0.732,0.705,9,-9.271,1,0.0349,0.626,0.00068,0.0813,0.848,117.925,291200
181,John Mayer,Gravity,0.753,0.326,7,-9.883,1,0.0342,0.731,0.00131,0.24,0.237,123.799,245827
182,Beyoncé,Halo,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640
183,Pharrell Williams,"Happy - From ""Despicable Me 2""",0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720
184,Eagles,Heartache Tonight - 2013 Remaster,0.81,0.511,0,-6.454,1,0.0409,0.0778,0.000226,0.0714,0.858,113.153,265678
185,Los Lonely Boys,Heaven,0.653,0.816,11,-6.373,1,0.0638,0.376,1.61e-06,0.0754,0.802,91.894,226960
186,Adele,Hello,0.578,0.43,5,-6.134,0,0.0305,0.33,0.0,0.0854,0.288,78.991,295502
187,Louis Armstrong,"Hello, Dolly!",0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,147000
188,Sammi Smith,Help Me Make It Through The Night,0.559,0.35,8,-12.01,1,0.0245,0.605,0.000443,0.102,0.413,78.035,155533
189,OK Go,Here It Goes Again,0.537,0.882,0,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729,179813
190,Ray Charles,Here We Go Again,0.628,0.298,10,-12.571,1,0.0296,0.639,0.000442,0.101,0.391,98.966,238751
191,Dolly Parton,Here You Come Again,0.585,0.511,1,-9.37,1,0.0391,0.647,0.007,0.0392,0.552,105.898,179491
192,No Doubt,Hey Baby,0.705,0.872,11,-3.557,0,0.126,0.0618,0.0,0.227,0.75,93.628,207040
193,DJ Khaled,Higher (feat. Nipsey Hussle & John Legend),0.351,0.956,7,-1.996,1,0.245,0.0949,0.0,0.226,0.446,83.655,176875
194,Steve Winwood,Higher Love,0.696,0.78,5,-12.159,1,0.0415,0.0427,0.149,0.298,0.954,98.699,351507
195,Sam & Dave,"Hold On, I'm Comin'",0.803,0.338,6,-14.029,1,0.0349,0.196,0.038,0.097,0.912,106.841,155707
196,JAY-Z,Holy Grail,0.676,0.534,2,-6.901,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,338413
197,Francesca Battistelli,Holy Spirit,0.381,0.532,2,-7.842,1,0.0372,0.00318,0.0,0.098,0.1,143.774,302577
198,Eagles,Hotel California - 2013 Remaster,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376
199,Drake,Hotline Bling,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,267067
200,Michael Bolton,How Am I Supposed to Live Without You,0.541,0.44,10,-12.206,1,0.031,0.191,0.0,0.114,0.232,140.273,255667
201,Bee Gees,How Deep Is Your Love,0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,245200
202,Various Artists,How Far I'll Go - Alessia Cara Version,0.31,0.54,9,-9.629,1,0.346,0.163,0.000129,0.0713,0.148,180.994,175507
203,Elvis Presley,How Great Thou Art,0.163,0.149,10,-14.49,1,0.0332,0.913,0.0991,0.114,0.245,198.734,181293
204,Eagles,How Long,0.627,0.825,0,-6.107,1,0.0279,0.0792,2.66e-06,0.356,0.855,140.241,196053
205,Tim McGraw,Humble And Kind,0.355,0.48,11,-7.31,1,0.0282,0.679,2.28e-06,0.12,0.137,100.956,259267
206,Kendrick Lamar,HUMBLE.,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000
